password,label
password,0
hello123,0
password,0
hello123,0
password,0
abc,0
abc,0
abc,0
HELLO123,0
password,0
hello123,0
hello123,0
HELLO123,0
hello123,0
hello123,0
abc,0
password,0
password,0
password,0
password,0
abc,0
HELLO123,0
HELLO123,0
abc,0
hello123,0
HELLO123,0
password,0
abc,0
abc,0
abc,0
password,0
abc,0
password,0
HELLO123,0
password,0
hello123,0
abc,0
HELLO123,0
HELLO123,0
password,0
abc,0
abc,0
abc,0
hello123,0
abc,0
HELLO123,0
HELLO123,0
abc,0
hello123,0
hello123,0
hello123,0
abc,0
abc,0
hello123,0
password,0
abc,0
password,0
password,0
hello123,0
password,0
HELLO123,0
HELLO123,0
hello123,0
password,0
password,0
hello123,0
password,0
hello123,0
hello123,0
password,0
abc,0
abc,0
abc,0
hello123,0
hello123,0
abc,0
hello123,0
abc,0
HELLO123,0
HELLO123,0
hello123,0
password,0
abc,0
password,0
hello123,0
password,0
password,0
hello123,0
abc,0
password,0
abc,0
HELLO123,0
password,0
password,0
abc,0
abc,0
abc,0
HELLO123,0
hello123,0
abc,0
hello123,0
hello123,0
hello123,0
abc,0
password,0
abc,0
password,0
abc,0
password,0
hello123,0
HELLO123,0
HELLO123,0
password,0
abc,0
hello123,0
password,0
abc,0
abc,0
hello123,0
HELLO123,0
password,0
password,0
password,0
hello123,0
hello123,0
password,0
abc,0
HELLO123,0
hello123,0
hello123,0
password,0
HELLO123,0
hello123,0
hello123,0
hello123,0
HELLO123,0
HELLO123,0
hello123,0
abc,0
abc,0
HELLO123,0
HELLO123,0
HELLO123,0
HELLO123,0
abc,0
password,0
abc,0
password,0
hello123,0
hello123,0
password,0
abc,0
password,0
HELLO123,0
hello123,0
abc,0
password,0
password,0
hello123,0
password,0
HELLO123,0
abc,0
HELLO123,0
password,0
hello123,0
HELLO123,0
hello123,0
abc,0
HELLO123,0
password,0
HELLO123,0
HELLO123,0
password,0
password,0
password,0
abc,0
HELLO123,0
abc,0
abc,0
abc,0
abc,0
abc,0
password,0
hello123,0
HELLO123,0
HELLO123,0
password,0
